sensor,axis,start_time,end_time,start_idx,end_idx,mean,std,min,max,range,median,variance,dominant_freq,spectral_centroid,activity
Accelerometer,Acceleration x (m/s^2),0.024349064,5.007479949,0,300,-1.8456920748450465,5.238113235510241,-17.85954666,8.806472778,26.666019438,-0.4967968464,27.43783026802756,0.2,5.995790840397047,walking
Accelerometer,Acceleration x (m/s^2),5.024145939,10.00727682,300,600,-4.269891135413866,4.602193378108229,-21.79322052,7.600393295,29.393613815,-4.17818141,21.180183889503233,3.4000000000000004,8.538113897516203,walking
Accelerometer,Acceleration x (m/s^2),10.02394281,15.0070737,600,900,-0.73544887537301,4.045386536983856,-11.98297977,10.34893703,22.331916800000002,-0.82570031285,16.365152233610235,3.6,9.37058705697131,walking
Accelerometer,Acceleration x (m/s^2),15.02373969,20.00687057,900,1200,0.32611420566826665,3.5707101939696066,-7.024587631,11.33115768,18.355745311,-0.005087678319999999,12.749971289318465,4.4,9.397803979349197,walking
Accelerometer,Acceleration x (m/s^2),20.02353656,25.00666745,1200,1500,0.3908773682152033,3.638027276666435,-7.413046837,12.92749214,20.340538977,0.22595278175,13.235242465768998,3.6,10.461916006623618,walking
Accelerometer,Acceleration x (m/s^2),25.02333344,30.00646432,1500,1800,0.14312936518282005,3.5386408222093904,-6.508038998,13.23514652,19.743185518,-0.34177228805,12.52197886860675,3.4000000000000004,10.16510393401241,walking
Accelerometer,Acceleration x (m/s^2),30.02313031,35.0062612,1800,2100,0.5235001817653699,3.728490436604982,-8.503605843,10.82598114,19.329586983,0.2032078654,13.90164093585481,4.4,9.67579906435645,walking
Accelerometer,Acceleration x (m/s^2),35.02292719,40.00605807,2100,2400,0.22348676035541667,3.9724783488306548,-8.757390976,13.74152088,22.498911856,-0.267851308,15.780584231928326,3.6,10.072094774290127,walking
Accelerometer,Acceleration x (m/s^2),40.02272406,45.00585495,2400,2700,0.49858452237771966,3.428256498617651,-8.408436775,14.13476849,22.543205265,0.2223614827,11.752942620314155,3.6,9.214041433968552,walking
Accelerometer,Acceleration x (m/s^2),45.02252094,50.00565182,2700,3000,0.9627683601561998,2.932054013958557,-7.055712223,11.75014305,18.805855273,1.361402929,8.596940740770485,0.2,8.787272991251326,walking
Accelerometer,Acceleration x (m/s^2),50.02231781,55.0054487,3000,3300,-0.6678126795207,2.7370772458948607,-6.6163764,9.676764488,16.293140888,-1.1142016055,7.491591849995396,0.2,9.43480012752226,walking
